Date,Open,High,Low,Close,Volume,SMA(7) 
2005-04-08,5.3875,5.394,5.0625,5.1875,5308800,5.487142857142857
2005-04-11,5.189,5.384,5.1325,5.285,2223200,5.4491428571428555
2005-04-12,5.25,5.25,5.1,5.219,1500800,5.4041428571428565
2005-04-13,5.206,5.206,5.041,5.089,800800,5.34042857142857
2005-04-14,5.039,5.039,4.976,5.0375,1536000,5.274214285714285
2005-04-15,5.0375,5.144,4.875,4.929,1797600,5.189214285714285
2005-04-18,4.93,5.015,4.919,5.014,1295200,5.108714285714285
2005-04-19,5.0325,5.15,5.026,5.1375,880000,5.101571428571428
2005-04-20,5.136,5.22,5.079,5.125,1511200,5.078714285714286
2005-04-21,5.136,5.2125,5.136,5.2125,766400,5.077785714285715
2005-04-22,5.2125,5.2125,5.006,5.0625,2036800,5.074
2005-04-25,5.069,5.2175,5.069,5.189,1148800,5.095642857142857
2005-04-26,5.189,5.309,5.1175,5.149,998400,5.127071428571428
2005-04-27,5.131,5.144,4.9625,5.056,900800,5.133071428571428
2005-04-28,5.056,5.0575,4.9325,4.991,2286400,5.112142857142857
2005-04-29,4.994,5.044,4.954,5.0225,1952000,5.097499999999999
2005-05-02,5.044,5.046,4.939,5.0425,1768800,5.073214285714286
2005-05-03,5.001,5.0025,4.9375,4.9525,1582400,5.0575
2005-05-04,4.954,4.9825,4.9125,4.965,823200,5.0255
2005-05-05,4.944,5,4.934,4.989,741600,5.002642857142857
2005-05-06,5.081,5.105,5.001,5.066,762400,5.004071428571428
2005-05-09,5.056,5.056,4.969,5.034,967200,5.010214285714285
2005-05-10,5.034,5.0425,4.9375,4.96,976800,5.0012857142857134
2005-05-11,4.95,4.981,4.925,4.946,794400,4.987499999999999
2005-05-12,4.9475,4.9575,4.8775,4.894,1666400,4.979142857142856
2005-05-13,4.875,4.875,4.7425,4.7825,1143200,4.953071428571428
2005-05-16,4.765,4.844,4.7525,4.831,904000,4.930499999999999
2005-05-17,4.836,4.875,4.814,4.874,853600,4.903071428571428
2005-05-18,4.874,5.01,4.8625,4.9625,896800,4.8928571428571415
2005-05-19,4.969,5.014,4.894,4.909,680000,4.885571428571427
2005-05-20,4.896,4.896,4.7775,4.816,1232000,4.866999999999999
2005-05-23,4.819,4.894,4.806,4.81,1315200,4.8549999999999995
2005-05-24,4.8125,4.8125,4.7062,4.755,1208800,4.851071428571429
2005-05-25,4.7275,4.7275,4.5588,4.595,1912800,4.817357142857143
2005-05-26,4.5912,4.8075,4.5912,4.775,4176800,4.803214285714287
2005-05-27,4.7875,4.8425,4.781,4.8075,764000,4.78107142857143
2005-05-31,4.809,4.819,4.776,4.819,1182400,4.768214285714287
2005-06-01,4.8375,4.894,4.75,4.851,2318400,4.773214285714288
2005-06-02,4.8625,4.999,4.8625,4.946,2437600,4.79264285714286
2005-06-03,4.931,4.95,4.809,4.8175,1616800,4.801571428571431
2005-06-06,4.819,4.819,4.6925,4.7425,2060000,4.82264285714286
2005-06-07,4.7425,4.824,4.7362,4.7575,1566400,4.82014285714286
2005-06-08,4.7575,4.7825,4.745,4.756,1326400,4.8127857142857176
2005-06-09,4.756,4.799,4.75,4.784,1400800,4.8077857142857185
2005-06-10,4.785,4.871,4.785,4.846,1239200,4.807071428571433
2005-06-13,4.846,4.86,4.8075,4.8475,1208000,4.793000000000005
2005-06-14,4.854,4.92,4.8325,4.916,1934400,4.807071428571433
2005-06-15,4.915,4.915,4.7625,4.78,2940000,4.812428571428576
2005-06-16,4.781,4.835,4.769,4.8325,1499200,4.823142857142861
2005-06-17,4.8825,4.9125,4.791,4.8275,1110400,4.833357142857147
2005-06-20,4.7875,4.791,4.6725,4.685,1259200,4.81921428571429
2005-06-21,4.6875,4.75,4.6412,4.65,1606400,4.7912142857142905
2005-06-22,4.6688,4.6788,4.4588,4.4625,2085600,4.736214285714291
2005-06-23,3.4875,3.4875,3.0125,3.1388,27536000,4.482328571428576
2005-06-24,3.2188,3.2312,3.1288,3.1288,7496800,4.246442857142862
2005-06-27,3.135,3.1412,3.075,3.0938,4634400,3.998057142857147
2005-06-28,3.1062,3.1862,3.0975,3.1562,3686400,3.759300000000004
2005-06-29,3.175,3.2762,3.1688,3.2438,3770400,3.55341428571429
2005-06-30,3.275,3.3125,3.1625,3.2125,2130400,3.348057142857147
2005-07-01,3.2162,3.2162,3.1438,3.1612,2221600,3.162157142857147
2005-07-05,3.15,3.16,3.035,3.1,4975200,3.1566142857142903
2005-07-06,3.1075,3.125,3.085,3.0988,2796000,3.152328571428576
2005-07-07,3.095,3.1,3.0562,3.0925,3610400,3.152142857142862
2005-07-08,3.0825,3.2025,3.0825,3.1888,6836800,3.156800000000005
2005-07-11,3.1812,3.2425,3.1688,3.1925,2752000,3.1494714285714336
2005-07-12,3.1562,3.1762,3.14,3.1562,2200000,3.141428571428577
2005-07-13,3.1562,3.175,3.12,3.15,2044800,3.1398285714285765
2005-07-14,3.1488,3.175,3.125,3.1263,1404000,3.1435857142857193
2005-07-15,3.1375,3.1725,3.1075,3.1388,1876000,3.1493000000000047
2005-07-18,3.1538,3.1562,3.1312,3.1412,2846400,3.1562571428571475
2005-07-19,3.1388,3.16,3.125,3.14,1533600,3.149285714285719
2005-07-20,3.1375,3.1875,3.1375,3.1838,1521600,3.1480428571428622
2005-07-21,3.1812,3.1988,3.1562,3.18,1474400,3.151442857142862
2005-07-22,3.18,3.1925,3.15,3.1925,1831200,3.157514285714291
2005-07-25,3.1675,3.2688,3.16,3.1988,3220000,3.1678714285714333
2005-07-26,3.1975,3.2562,3.1388,3.2175,2027200,3.1791142857142907
2005-07-27,3.2125,3.325,3.2,3.3125,3910400,3.203585714285719
2005-07-28,3.6088,3.9375,3.5688,3.7125,9071200,3.285371428571433
2005-07-29,3.6875,3.71,3.6688,3.675,2656000,3.3555428571428614
2005-08-01,3.5562,3.725,3.5562,3.6462,3764000,3.4221428571428616
2005-08-02,3.6338,3.7362,3.6238,3.6275,2023200,3.484285714285719
2005-08-03,3.625,3.6462,3.5925,3.61,2560000,3.543028571428576
2005-08-04,3.6,3.61,3.5412,3.5462,1212000,3.5899857142857186
2005-08-05,3.5525,3.5525,3.46,3.49,1112800,3.615342857142861
2005-08-08,3.475,3.475,3.3525,3.385,1432800,3.568557142857147
2005-08-09,3.3688,3.385,3.3538,3.3562,982400,3.52301428571429
2005-08-10,3.375,3.385,3.3162,3.3188,1340000,3.476242857142861
2005-08-11,3.3375,3.3875,3.3288,3.36,903200,3.438028571428575
2005-08-12,3.3625,3.4875,3.3225,3.4838,1524800,3.420000000000004
2005-08-15,3.4675,3.4675,3.3638,3.3962,1349600,3.3985714285714326
2005-08-16,3.3875,3.4,3.3562,3.3625,1089600,3.3803571428571466
2005-08-17,3.4012,3.4275,3.3562,3.3562,1070400,3.3762428571428607
2005-08-18,3.3562,3.3788,3.3412,3.3538,1633600,3.3759000000000037
2005-08-19,3.3538,3.3638,3.325,3.3375,1390400,3.378571428571432
2005-08-22,3.335,3.3388,3.26,3.305,1881600,3.370714285714289
2005-08-23,3.3,3.3075,3.1625,3.2,1883200,3.330171428571432
2005-08-24,3.1812,3.1812,3.0575,3.0688,3772000,3.2834000000000034
2005-08-25,3.07,3.07,3.0275,3.0275,2604000,3.2355428571428604
2005-08-26,3.0238,3.025,2.9062,2.9438,2672800,3.1766285714285742
2005-08-29,2.95,3.0262,2.9375,3.025,1628800,3.1296571428571456
2005-08-30,3.025,3.0938,3.0013,3.0188,1628000,3.0841285714285744
2005-08-31,2.9938,3.025,2.985,3.0138,2616800,3.042528571428574
2005-09-01,3.015,3.0938,2.975,3.0075,2334400,3.0150285714285743
2005-09-02,3.0075,3.0088,2.9762,2.9912,728800,3.00394285714286
2005-09-06,2.9938,3.0188,2.9775,3.0088,1644000,3.0012714285714317
2005-09-07,3.0088,3.0375,2.9125,3,2419200,3.009300000000003
2005-09-08,2.975,3,2.9612,2.97,1556000,3.00144285714286
2005-09-09,2.975,3.005,2.975,3,912800,2.9987571428571465
2005-09-12,3.0013,3.005,2.975,3,864000,2.9967857142857177
2005-09-13,2.9812,2.985,2.9188,2.97,912000,2.9914285714285747
2005-09-14,2.9625,2.97,2.9138,2.9388,872800,2.9839428571428606
2005-09-15,2.9362,2.9475,2.9138,2.935,1939200,2.973400000000003
2005-09-16,2.9525,2.9987,2.94,2.955,1284800,2.9669714285714313
2005-09-19,2.985,2.9987,2.9088,2.9738,1796000,2.9675142857142887
2005-09-20,2.9738,2.995,2.9038,2.905,1368800,2.9539428571428603
2005-09-21,2.8938,2.9075,2.8763,2.8875,4051200,2.9378714285714316
2005-09-22,2.9,2.955,2.85,2.9225,2724800,2.9310857142857176
2005-09-23,2.92,2.9362,2.8562,2.935,892000,2.9305428571428602
2005-09-26,2.9212,2.9462,2.9038,2.925,898400,2.929114285714289
2005-09-27,2.9112,2.9638,2.9,2.955,1259200,2.9291142857142884
2005-09-28,2.9675,3.0125,2.9612,2.9862,1555200,2.930885714285717
2005-09-29,2.9825,3.0112,2.9562,3.0088,1040000,2.9457142857142884
2005-09-30,3,3.005,2.9562,3,994400,2.961785714285717
2005-10-03,3,3.0188,2.9875,3.0062,713600,2.97374285714286
2005-10-04,3.0225,3.0225,2.8812,2.9012,1177600,2.9689142857142885
2005-10-05,2.895,2.9562,2.8125,2.8625,1804000,2.9599857142857173
2005-10-06,2.8562,2.875,2.8312,2.8737,1503200,2.948371428571431
2005-10-07,2.925,2.9375,2.8688,2.8725,1204800,2.932128571428574
2005-10-10,2.875,2.8825,2.8575,2.8662,1762400,2.911757142857145
2005-10-11,2.8638,2.8812,2.825,2.8325,1847200,2.8878285714285736
2005-10-12,2.8325,2.85,2.7312,2.7525,1264800,2.8515857142857164
2005-10-13,2.75,2.7838,2.7275,2.75,1207200,2.8299857142857165
2005-10-14,2.7462,2.7738,2.7012,2.75,836800,2.813914285714288
2005-10-17,2.7588,2.7975,2.7088,2.7412,752800,2.7949857142857164
2005-10-18,2.7412,2.75,2.6325,2.6725,1029600,2.766414285714288
2005-10-19,2.6425,2.6938,2.5462,2.685,1368800,2.7405285714285736
2005-10-20,2.675,2.7225,2.6138,2.6463,731200,2.713928571428574
2005-10-21,2.6463,2.6862,2.6338,2.6375,532000,2.697500000000002
2005-10-24,2.6362,2.7188,2.6362,2.7175,1208800,2.6928571428571453
2005-10-25,2.7262,2.7438,2.585,2.6675,900000,2.681071428571431
2005-10-26,2.6812,2.7362,2.5688,2.6062,1917600,2.661785714285717
2005-10-27,2.575,2.6312,2.3462,2.63,6302400,2.6557142857142884
2005-10-28,2.6375,2.65,2.5725,2.585,2155200,2.6414285714285737
2005-10-31,2.5812,2.6888,2.5812,2.5962,3110400,2.634271428571431
2005-11-01,2.64,2.64,2.515,2.5512,1843200,2.6219428571428596
2005-11-02,2.5362,2.5862,2.5188,2.5612,1865600,2.5996142857142885
2005-11-03,2.575,2.615,2.5162,2.53,1899200,2.5799714285714317
2005-11-04,2.5312,2.5625,2.5,2.515,1824000,2.56694285714286
2005-11-07,2.515,2.5788,2.515,2.5662,2150400,2.557828571428574
2005-11-08,2.5662,2.5662,2.5,2.5025,1521600,2.54604285714286
2005-11-09,2.5,2.5462,2.4938,2.5438,1411200,2.538557142857146
2005-11-10,2.5538,2.7162,2.5338,2.7125,1904000,2.561600000000003
2005-11-11,2.7075,2.7075,2.6338,2.655,1419200,2.5750000000000033
2005-11-14,2.655,2.6612,2.6212,2.6512,817600,2.592314285714289
2005-11-15,2.6512,2.6762,2.6125,2.625,1303200,2.608028571428575
2005-11-16,2.6375,2.6488,2.5062,2.5712,1121600,2.6087428571428606
2005-11-17,2.5675,2.5738,2.5,2.5738,998400,2.618928571428575
2005-11-18,2.5938,2.685,2.5725,2.6838,1144000,2.638928571428575
2005-11-21,2.6375,2.6738,2.6125,2.6612,1689600,2.6316000000000033
2005-11-22,2.6375,2.8475,2.6375,2.8138,1780800,2.6542857142857175
2005-11-23,2.7875,2.8062,2.7812,2.7962,1047200,2.6750000000000034
2005-11-25,2.7875,2.7925,2.725,2.7825,323200,2.697500000000003
2005-11-28,2.7688,2.8062,2.7438,2.7675,1345600,2.72554285714286
2005-11-29,2.7675,2.81,2.7625,2.7788,1346400,2.754828571428575
2005-11-30,2.7762,2.8625,2.7562,2.8588,1715200,2.7798285714285744
2005-12-01,2.8588,2.8725,2.8375,2.87,1691200,2.8096571428571457
2005-12-02,2.8725,2.875,2.8438,2.8725,908000,2.81804285714286
2005-12-05,2.8625,2.8975,2.815,2.8975,1110400,2.832514285714289
2005-12-06,2.89,3,2.89,2.9825,1654400,2.8610857142857173
2005-12-07,2.9938,3.0625,2.9875,3.0438,2620000,2.900557142857146
2005-12-08,3.0562,3.0888,3.0125,3.04,3888000,2.9378714285714316
2005-12-09,3.04,3.0812,3.04,3.0712,958400,2.9682142857142892
2005-12-12,3.0925,3.2188,3.0662,3.2138,1528800,3.0173285714285747
2005-12-13,3.2562,3.3438,3.2287,3.3025,2765600,3.0787571428571465
2005-12-14,3.3125,3.405,3.3125,3.3588,1144800,3.144657142857146
2005-12-15,3.3425,3.3688,3.2175,3.2412,1348800,3.1816142857142893
2005-12-16,3.2412,3.2625,3.2238,3.24,1504000,3.2096428571428604
2005-12-19,3.2188,3.2812,3.2188,3.24,1633600,3.2382142857142893
2005-12-20,3.2375,3.25,3.1925,3.2012,1056000,3.256785714285718
2005-12-21,3.2487,3.2487,3.1288,3.1412,1814400,3.2464142857142897
2005-12-22,3.375,3.525,3.3375,3.495,4469600,3.2739142857142896
2005-12-23,3.4588,3.59,3.425,3.465,2177600,3.289085714285718
2005-12-27,3.4562,3.5175,3.365,3.3825,1132800,3.3092714285714324
2005-12-28,3.3838,3.425,3.3525,3.3662,797600,3.327300000000004
2005-12-29,3.6125,3.77,3.5425,3.685,4748000,3.3908714285714323
2005-12-30,3.685,3.695,3.5062,3.5062,2536000,3.434442857142861
2006-01-03,3.5125,3.6188,3.4938,3.6,5748000,3.499985714285718
2006-01-04,3.625,3.6625,3.5812,3.5912,2005600,3.513728571428575
2006-01-05,3.5912,3.65,3.5912,3.5988,1113600,3.5328428571428607
2006-01-06,3.6438,3.6438,3.5538,3.575,940800,3.5603428571428606
2006-01-09,3.5325,3.6125,3.5312,3.5675,941600,3.5891000000000033
2006-01-10,3.5625,3.6112,3.5,3.5638,1164000,3.571785714285718
2006-01-11,3.5638,3.5638,3.4575,3.485,1087200,3.5687571428571467
2006-01-12,3.475,3.4762,3.2075,3.3312,3152000,3.530357142857146
2006-01-13,3.325,3.3675,3.24,3.3362,1000800,3.493928571428575
2006-01-17,3.325,3.325,3.26,3.2962,1072000,3.4507000000000034
2006-01-18,3.2875,3.3188,3.2562,3.28,987200,3.408557142857146
2006-01-19,3.3,3.31,3.2788,3.3062,988000,3.371228571428575
2006-01-20,3.35,3.3675,3.2487,3.2688,1218400,3.3290857142857178
2006-01-23,3.2812,3.3212,3.23,3.2362,1539200,3.2935428571428607
2006-01-24,3.2388,3.2675,3.2312,3.2612,1943200,3.283542857142861
2006-01-25,3.2713,3.2775,3.2388,3.245,1765600,3.270514285714289
2006-01-26,3.275,3.2762,3.2075,3.2375,898400,3.2621285714285753
2006-01-27,3.225,3.225,3.1138,3.1463,1847200,3.243028571428575
2006-01-30,3.135,3.2188,3.125,3.1625,1272000,3.2225000000000037
2006-01-31,3.145,3.1562,3.1012,3.1225,1285600,3.2016000000000036
2006-02-01,3.1225,3.1612,3.1075,3.145,1372000,3.188571428571432
2006-02-02,3.1425,3.1562,3.0938,3.1125,1078400,3.1673285714285755
2006-02-03,3.1125,3.1125,3.0025,3.0375,1168800,3.1376857142857184
2006-02-06,3.0162,3.075,2.9875,3.0625,1800800,3.112685714285718
2006-02-07,3.0625,3.0962,3.0038,3.0338,842400,3.0966142857142893
2006-02-08,3.0438,3.0438,3,3.0213,595200,3.076442857142861
2006-02-09,3.0125,3.1075,3.0125,3.0938,1077600,3.072342857142861
2006-02-10,3.0825,3.1125,2.99,3.0712,1620000,3.0618000000000043
2006-02-13,3.3438,3.345,3.0988,3.1162,5651200,3.0623285714285755
2006-02-14,3.1562,3.3038,3.1212,3.2775,1877600,3.0966142857142893
2006-02-15,3.2875,3.4438,3.2262,3.4275,1936000,3.148757142857147
2006-02-16,3.3025,3.5375,2.9412,3.2188,5451200,3.1751857142857185
2006-02-17,3.4062,3.4112,3.125,3.1275,3056800,3.1903571428571476
2006-02-21,3.1312,3.1875,3.125,3.13,1412800,3.1955285714285755
2006-02-22,3.1312,3.16,3.1125,3.1488,1200000,3.20661428571429
2006-02-23,3.1375,3.1688,3.125,3.1662,1017600,3.213757142857147
2006-02-24,3.185,3.2487,3.175,3.225,1439200,3.2062571428571474
2006-02-27,3.2125,3.2988,3.2125,3.2888,1380800,3.1864428571428616
2006-02-28,3.2875,3.305,3.2062,3.2487,1355200,3.19071428571429
2006-03-01,3.2438,3.2988,3.2388,3.2975,1118400,3.215000000000004
2006-03-02,3.2975,3.3362,3.275,3.3188,1436000,3.2419714285714325
2006-03-03,3.3125,3.35,3.2862,3.3375,1264800,3.268928571428575
2006-03-06,3.3375,3.4425,3.2975,3.3938,2005600,3.3014428571428605
2006-03-07,3.3875,3.4125,3.325,3.3338,1743200,3.3169857142857175
2006-03-08,3.3338,3.4812,3.2725,3.4688,2419200,3.342700000000004
2006-03-09,3.4875,3.5225,3.4112,3.4462,1728800,3.3709142857142895
2006-03-10,3.4462,3.5212,3.4425,3.5175,820000,3.4023428571428616
2006-03-13,3.5125,3.6388,3.49,3.5125,1104000,3.43001428571429
2006-03-14,3.5188,3.7112,3.5062,3.6275,2419200,3.4714428571428617
2006-03-15,3.6288,3.6762,3.5475,3.6562,1153600,3.5089285714285765
2006-03-16,3.6688,3.6912,3.6225,3.68,534400,3.5583857142857194
2006-03-17,3.68,3.68,3.5875,3.6238,1628000,3.5805285714285766
2006-03-20,3.6088,3.65,3.5875,3.6238,893600,3.605900000000005
2006-03-21,3.6125,3.74,3.6012,3.7188,1500000,3.6346571428571477
2006-03-22,3.7038,3.7612,3.6825,3.7,1257600,3.661442857142862
2006-03-23,3.7312,3.7375,3.6688,3.685,772800,3.6696571428571474
2006-03-24,3.6925,3.7462,3.6638,3.7,944000,3.6759142857142906
2006-03-27,3.7,3.7925,3.6888,3.7838,1117600,3.6907428571428618
2006-03-28,3.7838,3.8125,3.76,3.7862,2168000,3.713942857142862
2006-03-29,3.8212,3.9188,3.7238,3.8625,1275200,3.7480428571428623
2006-03-30,3.8875,4.0625,3.8738,4.0125,2232000,3.790000000000005
2006-03-31,4.0125,4.045,3.9375,3.9625,2564800,3.8275000000000046
2006-04-03,3.9625,4.0188,3.885,3.8862,1635200,3.856242857142862
2006-04-04,3.9412,3.9425,3.7038,3.7238,4588800,3.859642857142862
2006-04-05,3.7,3.7062,3.5075,3.57,5268000,3.829100000000005
2006-04-06,3.5875,3.6375,3.5388,3.59,2064000,3.8010714285714333
2006-04-07,3.5888,3.64,3.5388,3.5562,1742400,3.7573142857142905
2006-04-10,3.5675,3.575,3.5362,3.555,1983200,3.691957142857148
2006-04-11,3.555,3.595,3.5338,3.5512,2209600,3.6332000000000053
2006-04-12,3.5625,3.5625,3.4288,3.4412,4246400,3.5696285714285767
2006-04-13,3.435,3.4825,3.4212,3.4412,1904000,3.5292571428571478
2006-04-17,3.4312,3.4638,3.335,3.3938,727200,3.504085714285719
2006-04-18,3.3938,3.5312,3.3688,3.49,2168000,3.4898000000000047
2006-04-19,3.49,3.5125,3.4612,3.48,2761600,3.47891428571429
2006-04-20,3.4688,3.4962,3.3312,3.395,2558400,3.4560571428571474
2006-04-21,3.3912,3.3912,3.2575,3.2925,935200,3.4191000000000042
2006-04-24,3.275,3.2788,3.195,3.2638,3552800,3.3937571428571474
2006-04-25,3.2638,3.395,3.2638,3.3838,1525600,3.385557142857148
2006-04-26,3.385,3.4988,3.385,3.4325,2697600,3.3910857142857194
2006-04-27,3.5,3.9875,3.4875,3.7375,5896000,3.4264428571428622
2006-04-28,3.725,3.8375,3.6925,3.735,2304000,3.4628714285714333
2006-05-01,3.7662,3.8438,3.6812,3.6875,2537600,3.504657142857148
2006-05-02,3.6762,3.835,3.6625,3.8,1188000,3.5771571428571476
2006-05-03,3.795,3.875,3.75,3.8462,1203200,3.6603571428571477
2006-05-04,3.8462,3.9425,3.8462,3.8725,1024000,3.7301714285714334
2006-05-05,3.875,3.9812,3.8738,3.9262,2166400,3.800700000000005
2006-05-08,3.9275,3.9312,3.835,3.85,1527200,3.816771428571433
2006-05-09,3.8488,3.925,3.8488,3.9238,704000,3.843742857142862
2006-05-10,3.9225,3.95,3.85,3.8562,811200,3.867842857142862
2006-05-11,3.8875,3.925,3.765,3.765,783200,3.862842857142862
2006-05-12,3.7662,3.7775,3.6938,3.6962,1623200,3.8414142857142908
2006-05-15,3.6712,3.7212,3.485,3.605,1182400,3.8032000000000052
2006-05-16,3.605,3.6412,3.565,3.5738,661600,3.752857142857148
2006-05-17,3.5738,3.61,3.4462,3.4688,1420000,3.6984000000000044
2006-05-18,3.4638,3.51,3.3962,3.4,1095200,3.623571428571433
2006-05-19,3.425,3.4862,3.3438,3.4525,1170400,3.565900000000004
2006-05-22,3.4338,3.4762,3.2962,3.385,1351200,3.51161428571429
2006-05-23,3.41,3.465,3.2825,3.2825,696800,3.4525142857142894
2006-05-24,3.2825,3.4175,3.2775,3.4175,1805600,3.425728571428575
2006-05-25,3.4625,3.525,3.4475,3.5188,1709600,3.417871428571432
2006-05-26,3.4938,3.5688,3.4662,3.5538,844800,3.4300142857142895
2006-05-30,3.5375,3.5375,3.4188,3.4212,985600,3.433042857142861
2006-05-31,3.4438,3.4638,3.3812,3.3938,736000,3.4246571428571464
2006-06-01,3.395,3.5488,3.38,3.5425,690400,3.4471571428571464
2006-06-02,3.5425,3.6238,3.4988,3.6162,1424800,3.4948285714285747
2006-06-05,3.6238,3.645,3.4175,3.4262,1516800,3.4960714285714323
2006-06-06,3.4275,3.4275,3.2925,3.3638,1412000,3.4739285714285755
2006-06-07,3.3638,3.3812,3.3212,3.3275,838400,3.441600000000004
2006-06-08,3.3312,3.3425,3.1888,3.2612,1013600,3.418742857142861
2006-06-09,3.2688,3.2738,3.1975,3.205,2126400,3.3917714285714333
2006-06-12,3.2,3.2688,3.1512,3.1812,1563200,3.3401571428571475
2006-06-13,3.1662,3.2475,3.1438,3.1588,1308000,3.27481428571429
2006-06-14,3.1612,3.2188,3.1212,3.165,1809600,3.2375000000000043
2006-06-15,3.1712,3.2338,3.1675,3.21,1527200,3.2155285714285755
2006-06-16,3.2038,3.22,3.1525,3.1912,3547200,3.1960571428571467
2006-06-19,3.19,3.19,3.1212,3.1475,1696000,3.17981428571429
2006-06-20,3.16,3.16,3.075,3.0988,828800,3.1646428571428613
2006-06-21,3.1,3.1925,3.09,3.185,1316800,3.1651857142857183
2006-06-22,3.175,3.2625,3.175,3.225,1329600,3.174642857142861
2006-06-23,3.2312,3.255,3.205,3.2462,960800,3.186242857142861
2006-06-26,3.2538,3.3225,3.22,3.2988,1082400,3.198928571428575
2006-06-27,3.2988,3.3175,3.16,3.165,802400,3.195185714285718
2006-06-28,3.165,3.1975,3.115,3.1588,767200,3.1968000000000036
2006-06-29,3.1625,3.175,3.1375,3.1562,1764000,3.205000000000003
2006-06-30,3.1688,3.265,3.1688,3.2362,2465600,3.2123142857142892
2006-07-03,3.2487,3.285,3.2312,3.2738,284800,3.219285714285718
2006-07-05,3.255,3.3438,3.2212,3.315,888800,3.229114285714289
2006-07-06,3.315,3.3725,3.2912,3.3538,898400,3.236971428571432
2006-07-07,3.3412,3.3688,3.3,3.3,727200,3.2562571428571467
2006-07-10,3.3,3.3262,3.3,3.3125,367200,3.2782142857142893
2006-07-11,3.3188,3.325,3.2725,3.32,728800,3.30161428571429
2006-07-12,3.31,3.3238,3.2225,3.23,850400,3.3007285714285755
2006-07-13,3.2125,3.2125,3.09,3.1037,1181600,3.2764285714285752
2006-07-14,3.0912,3.0912,2.97,2.9775,2581600,3.2282142857142895
2006-07-17,2.9762,3.0312,2.965,3.0188,834400,3.1803571428571464
2006-07-18,3.0125,3.04,2.985,3.0088,1916000,3.138757142857146
2006-07-19,3.015,3.1975,3.0125,3.175,963200,3.1191142857142893
2006-07-20,3.1812,3.1812,3.0788,3.0875,1099200,3.085900000000003
2006-07-21,3.0888,3.0925,2.9262,2.955,1906400,3.046614285714289
2006-07-24,2.965,2.9912,2.9012,2.9912,1018400,3.0305428571428608
2006-07-25,2.9688,3.06,2.9488,3.0412,932800,3.039642857142861
2006-07-26,3.035,3.0475,2.9875,3,4467200,3.0369571428571467
2006-07-27,3.5,3.6375,3.245,3.3188,8104800,3.0812428571428607
2006-07-28,3.3312,3.53,3.3212,3.4875,3511200,3.125885714285718
2006-07-31,3.4738,3.5462,3.4125,3.525,2005600,3.188385714285718
2006-08-01,3.4788,3.4925,3.3575,3.365,2065600,3.246957142857146
2006-08-02,3.365,3.4062,3.3138,3.3712,2492800,3.301242857142861
2006-08-03,3.3588,3.4375,3.3312,3.3988,2323200,3.3523285714285755
2006-08-04,3.425,3.4688,3.3925,3.4412,1741600,3.4153571428571468
2006-08-07,3.4288,3.4288,3.375,3.3925,1343200,3.4258857142857186
2006-08-08,3.44,3.4988,3.35,3.3738,919200,3.409642857142861
2006-08-09,3.3925,3.4238,3.3225,3.3275,1196800,3.3814285714285757
2006-08-10,3.3162,3.3775,3.3012,3.375,938400,3.382857142857147
2006-08-11,3.3625,3.3662,3.2862,3.3212,581600,3.3757142857142894
2006-08-14,3.3462,3.4212,3.33,3.33,869600,3.365885714285718
2006-08-15,3.32,3.4475,3.32,3.4475,1189600,3.3667857142857187
